車型,品番,品名,產品圖片,原料編號,模具廠商,生產機台,CT時間(秒),重量公差,標準重量(g),重量上限(g),重量下限(g),標準長度,長度上限,長度下限,後加工組立,組立時間,重點管制1,重點管制2,重點管制3,異常履歷寫真1,異常履歷寫真2,異常履歷寫真3,出貨容器,收容數,月需求量,成形條件表,作業標準書,檢查手順書,備註
P33A,82870_1-6RX0A-1,後門門板RH/LH,82870_1-6RX0A-1_main.jpg,,,,,,,,,,,,,,,,,,,,,,,82870_1-6RX0A-1_qc1.pdf,82870_1-6RX0A-1_qc2.pdf,82870_1-6RX0A-1_qc3.pdf,
P33A,78872_3-6RA0A-1,後後輪弧RH/LH,78872_3-6RA0A-1_main.jpg,,,,,,,,,,,,,,,,,,,,,,,78872_3-6RA0A-1_qc1.pdf,78872_3-6RA0A-1_qc2.pdf,78872_3-6RA0A-1_qc3.pdf,
P33A,78860_1-6RA0A-1,後前輪弧RH/LH,78860_1-6RA0A-1_main.jpg,,,,,,,,,,,,,,,,,,,,,,,78860_1-6RA0A-1_qc1.pdf,78860_1-6RA0A-1_qc2.pdf,78860_1-6RA0A-1_qc3.pdf,
P33A,85010-6RX0A,拖車勾蓋,85010-6RX0A_main.jpg,,,,,,,,,,,,,,,,,,,,,,,85010-6RX0A_qc1.pdf,85010-6RX0A_qc2.pdf,85010-6RX0A_qc3.pdf,
P33A,24345-6RA0B,電池蓋,24345-6RA0B_main.jpg,,,,,,,,,,,,,,,,,,,,,,,24345-6RA0B_qc1.pdf,24345-6RA0B_qc2.pdf,24345-6RA0B_qc3.pdf,
DE,CW777508-1,儀錶板本體,CW777508-1_main.jpg,152967-L,,2700T(312機),,3540g±25g,3540,3565,3515,,,,,,,,,,,,,,,CW777508-1_qc1.jpg,CW777508-1_qc2.pdf,CW777508-1_qc3.pdf,
DE,CW777509,儀錶板配件,CW777509_main.jpg,,,,,,,,,,,,,,,,,,,,,,,CW777509_qc1.pdf,CW777509_qc2.pdf,CW777509_qc3.pdf,
DE,CW777525_26,出風口配件,CW777525_26_main.jpg,,,,,,,,,,,,,,,,,,,,,,,CW777525_26_qc1.pdf,CW777525_26_qc2.pdf,CW777525_26_qc3.pdf,
ET35,CW795307_791711XB,儀錶板本體,CW795307_791711XB_main.jpg,,,,,,,,,,,,,,,,,,,,,,,CW795307_791711XB_qc1.pdf,CW795307_791711XB_qc2.pdf,CW795307_791711XB_qc3.pdf,
ET35,CW792166,儀錶板配件,CW792166_main.jpg,,,,,,,,,,,,,,,,,,,,,,,CW792166_qc1.pdf,CW792166_qc2.pdf,CW792166_qc3.pdf,
JUT,65200-JUT-00,底護蓋B,65200-JUT-00_main.jpg,,,,,,,,,,,,,,,,,,,,,,,65200-JUT-00_qc1.pdf,65200-JUT-00_qc2.pdf,65200-JUT-00_qc3.pdf,
TT1,TT1-F470E-00,TT1-底板,TT1-F470E-00_main.jpg,,,,,,,,,,,,,,,,,,,,,,,TT1-F470E-00_qc1.pdf,TT1-F470E-00_qc2.pdf,TT1-F470E-00_qc3.pdf,
TT1,TT1-F470E-10-1,TT1-小背靠,TT1-F470E-10-1_main.jpg,,,,,,,,,,,,,,,,,,,,,,,TT1-F470E-10-1_qc1.pdf,TT1-F470E-10-1_qc2.pdf,TT1-F470E-10-1_qc3.pdf,
AST,CW785401_2XA,A柱RH/LH,CW785401_2XA_main.jpg,,,,,,,,,,,,,,,,,,,,,,,CW785401_2XA_qc1.pdf,CW785401_2XA_qc2.pdf,CW785401_2XA_qc3.pdf,
